run_id	Trimm	Paired	preprocess_method	feature_id	n_stool_sample_observed	stool_total_count	stool_mean_relative_abundance	stool_max_relative_abundance	qiime_resolution	QIIME_Taxon_Normalized	QIIME_ConfidenceNumeric	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_Bitscore	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_CutoffPass	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	Final_Genus	Final_Species	Final_Taxon	Replacement_Status	Replacement_Reason
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	Cutadapt	38da37bf49a104ddf2f0adc044079d2e	3	99514	25.841875948804088	36.94979776350226	Above genus	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	0.7304101626906722	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	Cutadapt	PE	Cutadapt	9fe16fd93ac73e9e4d58434fd4438af0	3	99104	26.098636824294502	37.30379412983685	Above genus	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	0.7233492526973432	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	Cutadapt	f52aa5980a9162ead1e2a406681ba1b7	3	18918	4.612659817354835	9.082054484891744	Above genus	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	1.000000000000003	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	Cutadapt	PE	Cutadapt	61d8d693c2929788a39237ffcfa57ced	3	17696	4.3558873042384825	8.414151689838363	Above genus	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	1.0000000000000036	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	Cutadapt	7ec84e73c19db6fd14a892be88d602d6	3	16627	4.267182163397662	7.908630156271998	Above genus	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	0.7739878329361579	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	Cutadapt	PE	Cutadapt	2e034c1aa05be4c5111594d8a3c15afd	3	16489	4.278341319853169	7.9160779881322405	Above genus	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	1.000000000000008	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	Cutadapt	23ce5b9dd49c380e94ec122f11c8077f	2	13991	6.3001193512982425	10.706672603765005	Above genus	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	0.9999999999999972	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	Cutadapt	PE	Cutadapt	deb97cee17e99b323f1cbf412123cbe4	2	13573	6.230736007563012	10.567575434170951	Above genus	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	0.8318942971717023	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	Cutadapt	cbf18da6c0f768134b965e6c94579fb5	1	13298	12.598648994325018	12.598648994325018	Above genus	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	0.7049838922189909	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	Cutadapt	PE	Cutadapt	529773f8e657ea61f96deda99c494873	1	13257	12.862132531289413	12.862132531289413	Above genus	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	0.8627222449157216	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	qiime_retained_no_blast_species	No BLAST species-level top hit was available.
